"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"OTTMUSG00000016609",138.363650486583,10.3504945995602,7.21607763381347,1.8820682451743e-05,0.00862276505600847
"Il1rn",51.4007222347693,4.77309527959945,1.47152905652499,7.56225080494416e-05,0.021193207880856
"Grem1",288.884798593862,4.76207060017724,1.08383590107872,2.30760884638942e-05,0.00862276505600847
"Snhg11",65.3346151375879,2.59436595083967,0.346336565561855,1.43736259372175e-06,0.00161128346756208
